Student,ID,SIS User ID,SIS Login ID,Email,Section,Assignment 07,Assignment 08
Synthetic Student 001,SYN-EXP-000001,SYN-SIS-000001,synthetic001,astone29@schoolname.example,Section A,52.22,60.69
Synthetic Student 011,SYN-EXP-000011,SYN-SIS-000011,synthetic011,kgarcia29@schoolname.example,Section C,48.01,57.23
Synthetic Student 012,SYN-EXP-000012,SYN-SIS-000012,synthetic012,lhayes29@schoolname.example,Section D,52.83,55.97
Synthetic Student 016,SYN-EXP-000016,SYN-SIS-000016,synthetic016,qlewis29@schoolname.example,Section D,74.22,87.94
Synthetic Student 017,SYN-EXP-000017,SYN-SIS-000017,synthetic017,rmartinez29@schoolname.example,Section A,40.64,45.62
Synthetic Student 019,SYN-EXP-000019,SYN-SIS-000019,synthetic019,tortiz29@schoolname.example,Section C,43.85,47.4
Synthetic Student 022,SYN-EXP-000022,SYN-SIS-000022,synthetic022,brivera29@schoolname.example,Section B,70.81,80.21
Synthetic Student 025,SYN-EXP-000025,SYN-SIS-000025,synthetic025,ebrooks29@schoolname.example,Section A,77.47,82.71
Synthetic Student 029,SYN-EXP-000029,SYN-SIS-000029,synthetic029,iflores29@schoolname.example,Section A,50.29,58.25
Synthetic Student 031,SYN-EXP-000031,SYN-SIS-000031,synthetic031,khayes29@schoolname.example,Section C,74.81,78.65
Synthetic Student 032,SYN-EXP-000032,SYN-SIS-000032,synthetic032,librahim29@schoolname.example,Section D,85.29,79.04
Synthetic Student 035,SYN-EXP-000035,SYN-SIS-000035,synthetic035,plewis29@schoolname.example,Section C,29.72,30.99
Synthetic Student 039,SYN-EXP-000039,SYN-SIS-000039,synthetic039,tprice29@schoolname.example,Section C,54.13,0
Synthetic Student 045,SYN-EXP-000045,SYN-SIS-000045,synthetic045,echen29@schoolname.example,Section A,58.14,64.37
Synthetic Student 046,SYN-EXP-000046,SYN-SIS-000046,synthetic046,fdavis29@schoolname.example,Section B,60.67,0
Synthetic Student 050,SYN-EXP-000050,SYN-SIS-000050,synthetic050,jhayes29@schoolname.example,Section B,38.82,38.18
Synthetic Student 051,SYN-EXP-000051,SYN-SIS-000051,synthetic051,kibrahim29@schoolname.example,Section C,71.51,0
Synthetic Student 053,SYN-EXP-000053,SYN-SIS-000053,synthetic053,mkim29@schoolname.example,Section A,97.33,98.87
Synthetic Student 054,SYN-EXP-000054,SYN-SIS-000054,synthetic054,nlewis29@schoolname.example,Section B,0,39.95
Synthetic Student 055,SYN-EXP-000055,SYN-SIS-000055,synthetic055,pmartinez29@schoolname.example,Section C,77.69,0
Synthetic Student 057,SYN-EXP-000057,SYN-SIS-000057,synthetic057,rortiz29@schoolname.example,Section A,72.03,72.59
Synthetic Student 058,SYN-EXP-000058,SYN-SIS-000058,synthetic058,sprice29@schoolname.example,Section B,62.32,64.84
Synthetic Student 062,SYN-EXP-000062,SYN-SIS-000062,synthetic062,bpatel29@schoolname.example,Section B,0,0
Synthetic Student 065,SYN-EXP-000065,SYN-SIS-000065,synthetic065,edavis29@schoolname.example,Section A,30.95,38.79
Synthetic Student 070,SYN-EXP-000070,SYN-SIS-000070,synthetic070,jibrahim29@schoolname.example,Section B,61.19,59.46
Synthetic Student 081,SYN-EXP-000081,SYN-SIS-000081,synthetic081,apatel29@schoolname.example,Section A,100,97.32
Synthetic Student 084,SYN-EXP-000084,SYN-SIS-000084,synthetic084,ddavis29@schoolname.example,Section D,67.15,70.65
Synthetic Student 085,SYN-EXP-000085,SYN-SIS-000085,synthetic085,eevans29@schoolname.example,Section A,61.9,65.64
Synthetic Student 086,SYN-EXP-000086,SYN-SIS-000086,synthetic086,fflores29@schoolname.example,Section B,63.9,66.44
Synthetic Student 092,SYN-EXP-000092,SYN-SIS-000092,synthetic092,llewis29@schoolname.example,Section D,64.19,78.4
Synthetic Student 100,SYN-EXP-000100,SYN-SIS-000100,synthetic100,vnguyen29@schoolname.example,Section D,28.6,33.98
Synthetic Student 105,SYN-EXP-000105,SYN-SIS-000105,synthetic105,eflores29@schoolname.example,Section A,54.03,58.64
Synthetic Student 111,SYN-EXP-000111,SYN-SIS-000111,synthetic111,klewis29@schoolname.example,Section C,41.64,46.77
Synthetic Student 112,SYN-EXP-000112,SYN-SIS-000112,synthetic112,lmartinez29@schoolname.example,Section D,26.44,28.57
Synthetic Student 113,SYN-EXP-000113,SYN-SIS-000113,synthetic113,mnelson29@schoolname.example,Section A,31.55,33.73
Synthetic Student 114,SYN-EXP-000114,SYN-SIS-000114,synthetic114,nortiz29@schoolname.example,Section B,52.28,57.32
Synthetic Student 116,SYN-EXP-000116,SYN-SIS-000116,synthetic116,qstone29@schoolname.example,Section D,32.19,41.6
Synthetic Student 119,SYN-EXP-000119,SYN-SIS-000119,synthetic119,tnguyen29@schoolname.example,Section C,51.63,60.58
Synthetic Student 126,SYN-EXP-000126,SYN-SIS-000126,synthetic126,fhayes29@schoolname.example,Section B,71.63,71.07
Synthetic Student 127,SYN-EXP-000127,SYN-SIS-000127,synthetic127,gibrahim29@schoolname.example,Section C,38.19,49.5
Synthetic Student 142,SYN-EXP-000142,SYN-SIS-000142,synthetic142,bevans29@schoolname.example,Section B,37.37,48.38
Synthetic Student 143,SYN-EXP-000143,SYN-SIS-000143,synthetic143,cflores29@schoolname.example,Section C,45.22,58.53
Synthetic Student 146,SYN-EXP-000146,SYN-SIS-000146,synthetic146,fibrahim29@schoolname.example,Section B,85.63,87.23
Synthetic Student 149,SYN-EXP-000149,SYN-SIS-000149,synthetic149,ilewis29@schoolname.example,Section A,60.78,61.26
Synthetic Student 150,SYN-EXP-000150,SYN-SIS-000150,synthetic150,jmartinez29@schoolname.example,Section B,74.93,73.51
Synthetic Student 151,SYN-EXP-000151,SYN-SIS-000151,synthetic151,knelson29@schoolname.example,Section C,72.38,74.49
Synthetic Student 156,SYN-EXP-000156,SYN-SIS-000156,synthetic156,qrivera29@schoolname.example,Section D,25.33,36.73
Synthetic Student 157,SYN-EXP-000157,SYN-SIS-000157,synthetic157,rnguyen29@schoolname.example,Section A,60.68,62.21
Synthetic Student 160,SYN-EXP-000160,SYN-SIS-000160,synthetic160,vchen29@schoolname.example,Section D,41.37,49.23
Synthetic Student 166,SYN-EXP-000166,SYN-SIS-000166,synthetic166,fjohnson29@schoolname.example,Section B,18.6,23.65
Synthetic Student 167,SYN-EXP-000167,SYN-SIS-000167,synthetic167,gkim29@schoolname.example,Section C,86.6,84.08
Synthetic Student 170,SYN-EXP-000170,SYN-SIS-000170,synthetic170,jnelson29@schoolname.example,Section B,0,0
Synthetic Student 171,SYN-EXP-000171,SYN-SIS-000171,synthetic171,kortiz29@schoolname.example,Section C,20.91,23.85
Synthetic Student 172,SYN-EXP-000172,SYN-SIS-000172,synthetic172,lprice29@schoolname.example,Section D,38.54,45.62
Synthetic Student 173,SYN-EXP-000173,SYN-SIS-000173,synthetic173,mstone29@schoolname.example,Section A,40.54,45.88
Synthetic Student 177,SYN-EXP-000177,SYN-SIS-000177,synthetic177,rpatel29@schoolname.example,Section A,87.27,91.93
Synthetic Student 178,SYN-EXP-000178,SYN-SIS-000178,synthetic178,sbrooks29@schoolname.example,Section B,12.14,14.97
Synthetic Student 180,SYN-EXP-000180,SYN-SIS-000180,synthetic180,vdavis29@schoolname.example,Section D,47.93,47.99
Synthetic Student 184,SYN-EXP-000184,SYN-SIS-000184,synthetic184,dibrahim29@schoolname.example,Section D,53.37,61.55
Synthetic Student 193,SYN-EXP-000193,SYN-SIS-000193,synthetic193,mmiller29@schoolname.example,Section A,79.76,79.6
Synthetic Student 195,SYN-EXP-000195,SYN-SIS-000195,synthetic195,pnguyen29@schoolname.example,Section C,20.35,33.25
Synthetic Student 196,SYN-EXP-000196,SYN-SIS-000196,synthetic196,qpatel29@schoolname.example,Section D,22.12,0
Synthetic Student 200,SYN-EXP-000200,SYN-SIS-000200,synthetic200,vevans29@schoolname.example,Section D,51.79,53.24
Synthetic Student 204,SYN-EXP-000204,SYN-SIS-000204,synthetic204,djohnson29@schoolname.example,Section D,0,52.46
Synthetic Student 205,SYN-EXP-000205,SYN-SIS-000205,synthetic205,ekim29@schoolname.example,Section A,15.46,26.9
Synthetic Student 206,SYN-EXP-000206,SYN-SIS-000206,synthetic206,flewis29@schoolname.example,Section B,80.66,82.91
Synthetic Student 208,SYN-EXP-000208,SYN-SIS-000208,synthetic208,hnelson29@schoolname.example,Section D,56.57,61.45
Synthetic Student 215,SYN-EXP-000215,SYN-SIS-000215,synthetic215,ppatel29@schoolname.example,Section C,69.24,70.19
Synthetic Student 216,SYN-EXP-000216,SYN-SIS-000216,synthetic216,qbrooks29@schoolname.example,Section D,55.2,57.26
Synthetic Student 219,SYN-EXP-000219,SYN-SIS-000219,synthetic219,tevans29@schoolname.example,Section C,0,54.92
Synthetic Student 221,SYN-EXP-000221,SYN-SIS-000221,synthetic221,ahayes29@schoolname.example,Section A,72.35,79.11
Synthetic Student 222,SYN-EXP-000222,SYN-SIS-000222,synthetic222,bibrahim29@schoolname.example,Section B,34.61,37.35
Synthetic Student 225,SYN-EXP-000225,SYN-SIS-000225,synthetic225,elewis29@schoolname.example,Section A,61.69,61.78
Synthetic Student 231,SYN-EXP-000231,SYN-SIS-000231,synthetic231,kmiller29@schoolname.example,Section C,39.79,53.59
Synthetic Student 236,SYN-EXP-000236,SYN-SIS-000236,synthetic236,qchen29@schoolname.example,Section D,59.8,58.25
Synthetic Student 246,SYN-EXP-000246,SYN-SIS-000246,synthetic246,fnelson29@schoolname.example,Section B,41.66,48.88
Synthetic Student 251,SYN-EXP-000251,SYN-SIS-000251,synthetic251,krivera29@schoolname.example,Section C,62.35,72.98
Synthetic Student 260,SYN-EXP-000260,SYN-SIS-000260,synthetic260,vhayes29@schoolname.example,Section D,95.23,100
Synthetic Student 261,SYN-EXP-000261,SYN-SIS-000261,synthetic261,ajohnson29@schoolname.example,Section A,50.38,0
Synthetic Student 263,SYN-EXP-000263,SYN-SIS-000263,synthetic263,clewis29@schoolname.example,Section C,31.39,37.58
Synthetic Student 265,SYN-EXP-000265,SYN-SIS-000265,synthetic265,enelson29@schoolname.example,Section A,30.79,36.16
Synthetic Student 268,SYN-EXP-000268,SYN-SIS-000268,synthetic268,hstone29@schoolname.example,Section D,29.9,36.41
Synthetic Student 270,SYN-EXP-000270,SYN-SIS-000270,synthetic270,jrivera29@schoolname.example,Section B,64.88,63.99
Synthetic Student 271,SYN-EXP-000271,SYN-SIS-000271,synthetic271,knguyen29@schoolname.example,Section C,89.74,83.42
Synthetic Student 274,SYN-EXP-000274,SYN-SIS-000274,synthetic274,nchen29@schoolname.example,Section B,39.45,47.55
Synthetic Student 279,SYN-EXP-000279,SYN-SIS-000279,synthetic279,thayes29@schoolname.example,Section C,27.11,31.82
Synthetic Student 280,SYN-EXP-000280,SYN-SIS-000280,synthetic280,vibrahim29@schoolname.example,Section D,0,0
Synthetic Student 281,SYN-EXP-000281,SYN-SIS-000281,synthetic281,akim29@schoolname.example,Section A,0,0
Synthetic Student 283,SYN-EXP-000283,SYN-SIS-000283,synthetic283,cmartinez29@schoolname.example,Section C,27.73,35.74
Synthetic Student 288,SYN-EXP-000288,SYN-SIS-000288,synthetic288,hmiller30@schoolname.example,Section D,0,45.02
Synthetic Student 289,SYN-EXP-000289,SYN-SIS-000289,synthetic289,irivera30@schoolname.example,Section A,36.97,35.04
Synthetic Student 290,SYN-EXP-000290,SYN-SIS-000290,synthetic290,jnguyen30@schoolname.example,Section B,16.77,25.3
Synthetic Student 291,SYN-EXP-000291,SYN-SIS-000291,synthetic291,kpatel30@schoolname.example,Section C,100,99.1
Synthetic Student 292,SYN-EXP-000292,SYN-SIS-000292,synthetic292,lbrooks30@schoolname.example,Section D,0,69.58
Synthetic Student 293,SYN-EXP-000293,SYN-SIS-000293,synthetic293,mchen30@schoolname.example,Section A,54.61,59.22
Synthetic Student 294,SYN-EXP-000294,SYN-SIS-000294,synthetic294,ndavis30@schoolname.example,Section B,41.35,41.64
Synthetic Student 295,SYN-EXP-000295,SYN-SIS-000295,synthetic295,pevans30@schoolname.example,Section C,67.49,77
Synthetic Student 296,SYN-EXP-000296,SYN-SIS-000296,synthetic296,qflores30@schoolname.example,Section D,36.12,45
Synthetic Student 297,SYN-EXP-000297,SYN-SIS-000297,synthetic297,rgarcia30@schoolname.example,Section A,54.92,58.24
Synthetic Student 298,SYN-EXP-000298,SYN-SIS-000298,synthetic298,shayes30@schoolname.example,Section B,42.62,49.13
Synthetic Student 299,SYN-EXP-000299,SYN-SIS-000299,synthetic299,tibrahim30@schoolname.example,Section C,24.25,35.41
Synthetic Student 300,SYN-EXP-000300,SYN-SIS-000300,synthetic300,vjohnson30@schoolname.example,Section D,31.21,40.37
Synthetic Student 301,SYN-EXP-000301,SYN-SIS-000301,synthetic301,alewis30@schoolname.example,Section A,69.93,75.19
Synthetic Student 302,SYN-EXP-000302,SYN-SIS-000302,synthetic302,bmartinez30@schoolname.example,Section B,57.83,56.4
Synthetic Student 303,SYN-EXP-000303,SYN-SIS-000303,synthetic303,cnelson30@schoolname.example,Section C,48.68,52.16
Synthetic Student 304,SYN-EXP-000304,SYN-SIS-000304,synthetic304,dortiz30@schoolname.example,Section D,46.21,52.03
Synthetic Student 305,SYN-EXP-000305,SYN-SIS-000305,synthetic305,eprice30@schoolname.example,Section A,44.68,46.96
Synthetic Student 306,SYN-EXP-000306,SYN-SIS-000306,synthetic306,fstone30@schoolname.example,Section B,60.83,63.67
Synthetic Student 307,SYN-EXP-000307,SYN-SIS-000307,synthetic307,gmiller30@schoolname.example,Section C,49.61,50.9
Synthetic Student 308,SYN-EXP-000308,SYN-SIS-000308,synthetic308,hrivera30@schoolname.example,Section D,34.38,39.46
Synthetic Student 309,SYN-EXP-000309,SYN-SIS-000309,synthetic309,inguyen30@schoolname.example,Section A,54.91,69.29
Synthetic Student 310,SYN-EXP-000310,SYN-SIS-000310,synthetic310,jpatel30@schoolname.example,Section B,38.24,44.75
Synthetic Student 311,SYN-EXP-000311,SYN-SIS-000311,synthetic311,kbrooks30@schoolname.example,Section C,59.82,60.49
Synthetic Student 312,SYN-EXP-000312,SYN-SIS-000312,synthetic312,lchen30@schoolname.example,Section D,75.89,0
Synthetic Student 313,SYN-EXP-000313,SYN-SIS-000313,synthetic313,mdavis30@schoolname.example,Section A,19.57,29.35
Synthetic Student 314,SYN-EXP-000314,SYN-SIS-000314,synthetic314,nevans30@schoolname.example,Section B,91.2,87.34
Synthetic Student 315,SYN-EXP-000315,SYN-SIS-000315,synthetic315,pflores30@schoolname.example,Section C,41.6,46.1
Synthetic Student 316,SYN-EXP-000316,SYN-SIS-000316,synthetic316,qgarcia30@schoolname.example,Section D,65.17,66.56
Synthetic Student 317,SYN-EXP-000317,SYN-SIS-000317,synthetic317,rhayes30@schoolname.example,Section A,55.08,57.15
Synthetic Student 318,SYN-EXP-000318,SYN-SIS-000318,synthetic318,sibrahim30@schoolname.example,Section B,69.56,75.36
Synthetic Student 319,SYN-EXP-000319,SYN-SIS-000319,synthetic319,tjohnson30@schoolname.example,Section C,37.06,51.51
Synthetic Student 320,SYN-EXP-000320,SYN-SIS-000320,synthetic320,vkim30@schoolname.example,Section D,37.25,46.06
Synthetic Student 321,SYN-EXP-000321,SYN-SIS-000321,synthetic321,amartinez30@schoolname.example,Section A,40.81,38.31
Synthetic Student 322,SYN-EXP-000322,SYN-SIS-000322,synthetic322,bnelson30@schoolname.example,Section B,39.79,51.96
Synthetic Student 323,SYN-EXP-000323,SYN-SIS-000323,synthetic323,cortiz30@schoolname.example,Section C,36.1,42.75
Synthetic Student 324,SYN-EXP-000324,SYN-SIS-000324,synthetic324,dprice30@schoolname.example,Section D,37.12,39.72
Synthetic Student 325,SYN-EXP-000325,SYN-SIS-000325,synthetic325,estone30@schoolname.example,Section A,30.22,45.9
Synthetic Student 326,SYN-EXP-000326,SYN-SIS-000326,synthetic326,fmiller30@schoolname.example,Section B,69.28,69.96
Synthetic Student 327,SYN-EXP-000327,SYN-SIS-000327,synthetic327,grivera30@schoolname.example,Section C,47.18,48.2
Synthetic Student 328,SYN-EXP-000328,SYN-SIS-000328,synthetic328,hnguyen30@schoolname.example,Section D,75.29,80.65
Synthetic Student 329,SYN-EXP-000329,SYN-SIS-000329,synthetic329,ipatel30@schoolname.example,Section A,53.48,56.02
Synthetic Student 330,SYN-EXP-000330,SYN-SIS-000330,synthetic330,jbrooks30@schoolname.example,Section B,55.8,55.6
Synthetic Student 331,SYN-EXP-000331,SYN-SIS-000331,synthetic331,kchen30@schoolname.example,Section C,48.19,51.71
Synthetic Student 332,SYN-EXP-000332,SYN-SIS-000332,synthetic332,ldavis30@schoolname.example,Section D,47.18,53.37
Synthetic Student 333,SYN-EXP-000333,SYN-SIS-000333,synthetic333,mevans30@schoolname.example,Section A,41.76,52.92
Synthetic Student 334,SYN-EXP-000334,SYN-SIS-000334,synthetic334,nflores30@schoolname.example,Section B,52.57,60.34
Synthetic Student 335,SYN-EXP-000335,SYN-SIS-000335,synthetic335,pgarcia30@schoolname.example,Section C,27.59,33.89
Synthetic Student 336,SYN-EXP-000336,SYN-SIS-000336,synthetic336,qhayes30@schoolname.example,Section D,65.78,66.2
Synthetic Student 337,SYN-EXP-000337,SYN-SIS-000337,synthetic337,ribrahim30@schoolname.example,Section A,38.18,0
Synthetic Student 338,SYN-EXP-000338,SYN-SIS-000338,synthetic338,sjohnson30@schoolname.example,Section B,0,60.52
Synthetic Student 339,SYN-EXP-000339,SYN-SIS-000339,synthetic339,tkim30@schoolname.example,Section C,28.55,39.57
